trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
129,False,"{'a': 0.03, 'e': 0.005741699685654204}",20,7,25.637859400012466,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.03, 'e': 0.005516564420760773}",20,10,16.309644830246235,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.03, 'e': 0.005300256835870404}",20,2,29.452179641284992,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.03, 'e': 0.005092430792699192}",20,0,22.27378502550954,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.03, 'e': 0.0048927537252394775}",20,12,14.16243574449684,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.03, 'e': 0.004700906107583278}",20,10,15.527055668024783,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.03, 'e': 0.004516580942612668}",25,15,14.640777061757069,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.03, 'e': 0.0043394832707388965}",25,0,38.20099596068657,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.03, 'e': 0.004169329697904113}",30,12,29.35471664188242,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.03, 'e': 0.004005847942090418}",20,0,33.94960791034316,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.03, 'e': 0.0038487763976105403}",30,16,24.366270985868212,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.03, 'e': 0.00369786371648293}",30,8,44.52994188064243,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.03, 'e': 0.003552868406221363}",25,13,25.20782924568795,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.03, 'e': 0.0034135584433954316}",25,15,15.298208132660461,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.03, 'e': 0.003279710902343574}",20,0,26.65263696597929,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
144,False,"{'a': 0.03, 'e': 0.0031511115984444423}",25,12,25.453620543688423,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.03, 'e': 0.003027554745375816}",30,8,28.934184047549685,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.03, 'e': 0.002908842625812585}",25,16,16.034164674873235,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.03, 'e': 0.0027947852750368446}",35,19,27.72796943954737,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.03, 'e': 0.0026852001769538214}",20,12,17.603466312919217,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.03, 'e': 0.002579911972027181}",25,9,-19.957900045708406,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
150,False,"{'a': 0.03, 'e': 0.0024787521766663594}",25,13,22.70243779186841,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.03, 'e': 0.0023815589136168716}",20,6,22.056913020161986,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.03, 'e': 0.00228817665292217}",30,20,18.392268951468218,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.03, 'e': 0.0021984559630425318}",20,0,31.285734975437336,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.03, 'e': 0.0021122532717327146}",35,25,21.20789945558068,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.03, 'e': 0.002029430636295735}",20,12,17.02390655215467,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.03, 'e': 0.0019498555228451213}",20,13,12.875521037012327,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.03, 'e': 0.001873400594222424}",30,22,13.831058455108721,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
